Time,ttip_y,ttip_y-vel,ttip_tvel,ulip_y,llip_y,ulip+llip_eucl
0.0,7.305359553554411,3.6478328188041353,3.648942937368199,16.354411187531745,1.0799881190418612,15.818322351973558
0.004,7.319967187993064,3.4803476733735463,3.4893865482980546,16.35440190427213,1.078642915597893,15.802548077241413
0.008,7.333233444194346,3.048515323405078,3.256883828525994,16.354420623143742,1.0764905389956885,15.790368093245336
0.012,7.344382559879285,2.511192951956646,3.373903089129088,16.354335902328543,1.0728519666959748,15.784031820095182
0.016,7.353345434227447,2.027622391205162,3.7338031835874577,16.353890799062864,1.067382322829367,15.784147859565708
0.02,7.3606216630079535,1.6919157489363723,3.812075438472673,16.35286719588555,1.0602121107804372,15.78971797177812
0.024,7.366895883488202,1.5019743398882717,3.270007197513388,16.35129113350272,1.0520358668599452,15.798604126532158
0.028,7.37265088319602,1.3849506040636734,2.1601151472024296,16.34951550112185,1.0440954423806785,15.80820126347186
0.032,7.377987867767452,1.2548862727022116,1.2554083273689114,16.34809117656793,1.0379874789344612,15.816097663443701
0.036000000000000004,7.382701190238175,1.0612125313570553,2.042014009498051,16.347485439363147,1.035267843329874,15.820571556657516
0.04,7.3864870537169125,0.8010313844381663,3.132329771664737,16.347816469973456,1.0369339331320977,15.820856282426845
0.044,7.389116601370748,0.5003472444696864,3.6176260542501066,16.348762973376733,1.0429744120984195,15.817177549133987
0.048,7.390494304050274,0.19202713049127587,3.33840348994246,16.34969003715764,1.0521973596340952,15.810602202846068
0.052000000000000005,7.390654534858303,-0.08738796762739255,2.436808004953657,16.349900042187752,1.0624477769988576,15.802746160378689
0.056,7.389794419187757,-0.2863884515416222,1.2310865209225195,16.348867344504285,1.071157393396938,15.795401136997706
0.06,7.3883608673491965,-0.33724799694730057,0.3405895113331073,16.346367976119296,1.07603323826043,15.790160344584404
0.064,7.387093420704943,-0.1820165563452149,1.0616995659516901,16.34250610109051,1.0756549053161137,15.788121025516249
0.068,7.386903107934803,0.18573989022761656,1.683758009813611,16.33768446405808,1.0698098429661718,15.78970353408357
0.07200000000000001,7.388581000071593,0.6963972317891537,2.051322415859822,16.332543095293673,1.0594984053534453,15.794587543616423
0.076,7.392480510568841,1.2210543757388115,2.261115196600063,16.327849301779175,1.0466363542080497,15.8017634000829
0.08,7.398360349530024,1.6211865284241804,2.3714384274140836,16.324326039697638,1.0335530440452925,15.809719579643508
0.084,7.405464493849003,1.7972677653226292,2.3732398771529084,16.32246080301293,1.0224266124460768,15.81678622475476
0.088,7.41275455661587,1.7086242399187326,2.2391328269396933,16.32238325363523,1.0148059544350614,15.821594988717342
0.092,7.419148760387257,1.3670508335407243,1.969427229883918,16.323875951131562,1.0113334111681018,15.823518269790052
0.096,7.423703182732988,0.8285373336401185,1.593780923388527,16.326496083969715,1.0117110915870564,15.822890831853055
